NAMESPACE            NAME                                          READY   STATUS    RESTARTS        AGE   IP             NODE                  NOMINATED NODE   READINESS GATES
kong                 kong-kong-7665cf688b-q6ths                    2/2     Running   0               22m   10.244.1.80    task1-worker2         <none>           <none>
kube-system          cilium-6f8f5                                  1/1     Running   3 (4h48m ago)   23h   172.18.0.3     task1-worker2         <none>           <none>
kube-system          cilium-envoy-7bjsl                            1/1     Running   3 (4h48m ago)   23h   172.18.0.4     task1-control-plane   <none>           <none>
kube-system          cilium-envoy-bfcst                            1/1     Running   3 (4h48m ago)   23h   172.18.0.2     task1-worker          <none>           <none>
kube-system          cilium-envoy-gg6b9                            1/1     Running   3 (4h48m ago)   23h   172.18.0.3     task1-worker2         <none>           <none>
kube-system          cilium-operator-d5845585d-gkp9j               1/1     Running   4 (4h48m ago)   23h   172.18.0.2     task1-worker          <none>           <none>
kube-system          cilium-rj8z8                                  1/1     Running   3 (4h48m ago)   23h   172.18.0.2     task1-worker          <none>           <none>
kube-system          cilium-x7q68                                  1/1     Running   3 (4h48m ago)   23h   172.18.0.4     task1-control-plane   <none>           <none>
kube-system          coredns-7d764666f9-6qwqf                      1/1     Running   3 (4h48m ago)   23h   10.244.2.183   task1-worker          <none>           <none>
kube-system          coredns-7d764666f9-6x2ph                      1/1     Running   1 (4h48m ago)   15h   10.244.0.183   task1-control-plane   <none>           <none>
kube-system          etcd-task1-control-plane                      1/1     Running   1 (4h48m ago)   15h   172.18.0.4     task1-control-plane   <none>           <none>
kube-system          kindnet-8592v                                 1/1     Running   3 (4h48m ago)   23h   172.18.0.4     task1-control-plane   <none>           <none>
kube-system          kindnet-smt4d                                 1/1     Running   4 (47m ago)     23h   172.18.0.3     task1-worker2         <none>           <none>
kube-system          kindnet-zssb2                                 1/1     Running   4 (4h48m ago)   23h   172.18.0.2     task1-worker          <none>           <none>
kube-system          kube-apiserver-task1-control-plane            1/1     Running   1 (4h48m ago)   15h   172.18.0.4     task1-control-plane   <none>           <none>
kube-system          kube-controller-manager-task1-control-plane   1/1     Running   4 (4h48m ago)   23h   172.18.0.4     task1-control-plane   <none>           <none>
kube-system          kube-proxy-7nbwl                              1/1     Running   3 (4h48m ago)   23h   172.18.0.4     task1-control-plane   <none>           <none>
kube-system          kube-proxy-bdcf7                              1/1     Running   3 (4h48m ago)   23h   172.18.0.3     task1-worker2         <none>           <none>
kube-system          kube-proxy-lbcxr                              1/1     Running   3 (4h48m ago)   23h   172.18.0.2     task1-worker          <none>           <none>
kube-system          kube-scheduler-task1-control-plane            1/1     Running   5 (32m ago)     23h   172.18.0.4     task1-control-plane   <none>           <none>
local-path-storage   local-path-provisioner-67b8995b4b-fl6jj       1/1     Running   3 (4h48m ago)   23h   10.244.0.200   task1-control-plane   <none>           <none>
monitoring           fake-gpu-metrics-676f557b94-qjlnn             1/1     Running   0               22m   10.244.2.20    task1-worker          <none>           <none>
monitoring           kong-throttle-webhook-6557575fdb-xtz7z        1/1     Running   0               22m   10.244.1.203   task1-worker2         <none>           <none>
monitoring           tenant-api-75b6cf84b5-p2jvr                   1/1     Running   0               22m   10.244.2.178   task1-worker          <none>           <none>
tenant-a             fake-llm-5dc94d6698-cz6ks                     1/1     Running   0               19m   10.244.1.65    task1-worker2         <none>           <none>
tenant-a             litellm-654c4bbbc9-qlkj4                      1/1     Running   0               19m   10.244.2.111   task1-worker          <none>           <none>
tenant-b             litellm-5b57b7c864-gwldh                      1/1     Running   0               19m   10.244.1.207   task1-worker2         <none>           <none>
